FromArea,FromLayer,ToArea,ToLayer,Strength,References
V1,L1,V1,L1,M,C4
V1,L2-3A,V1,L1,M,C5-C7-C4
V1,L2-3A,V1,L2-3A,D,C5-C7-C4
V1,L2-3A,V1,L3B,M,C7-C4
V1,L2-3A,V1,L4A,M,C7-C4
V1,L2-3A,V1,L4B,M,C4-C7
V1,L2-3A,V1,L5,M,C4
V1,L3B,V1,L2-3A,M,C3
V1,L3B,V1,L3B,D,C3
V1,L3B,V1,L4A,M,C3
V1,L3B,V1,L4B,M,C7-C3
V1,L3B,V1,L4CΑ,S,C3
V1,L3B,V1,L4CM,M,C3
V1,L3B,V1,L4CΒ,S,C3
V1,L3B,V1,L5,M,C3
V1,L3B,V1,L6,M,C3
V1,L4A,V1,L2-3A,M,C3
V1,L4A,V1,L3B,M,C3
V1,L4A,V1,L4A,M,C5-C3
V1,L4A,V1,L4B,M,C3
V1,L4A,V1,L4CΑ,S,C5-C3
V1,L4A,V1,L4CM,M,C5-C3
V1,L4A,V1,L4CΒ,S,C5-C3
V1,L4A,V1,L5A,M,C3
V1,L4A,V1,L5B,M,C3
V1,L4A,V1,L6A,M,C3
V1,L4A,V1,L6M,M,C3
V1,L4A,V1,L6B,M,C3
V1,L4B,V1,L1,S,C3
V1,L4B,V1,L2-3A,M,C3
V1,L4B,V1,L3B,M,C3
V1,L4B,V1,L4A,M,C3
V1,L4B,V1,L4B,D,C3-C7
V1,L4B,V1,L5A,M,C3
V1,L4B,V1,L5B,M,C3
V1,L4B,V1,L6A,M,C3
V1,L4B,V1,L6M,M,C3
V1,L4B,V1,L6B,M,C3
V1,L4CΑ,V1,L3B,M,C1
V1,L4CΑ,V1,L4A,M,C1
V1,L4CΑ,V1,L4B,M,C1-C7
V1,L4CΑ,V1,L4CΑ,D,C1
V1,L4CΑ,V1,L4CM,M,C1
V1,L4CΑ,V1,L4CΒ,M,C1
V1,L4CΑ,V1,L5A,M,C1
V1,L4CΑ,V1,L5B,S,C1
V1,L4CΑ,V1,L6A,S,C1
V1,L4CΑ,V1,L6M,M,C1
V1,L4CΑ,V1,L6B,M,C1
V1,L4CM,V1,L4A,M,C1
V1,L4CM,V1,L4CΑ,M,C1
V1,L4CM,V1,L4CM,D,C1
V1,L4CM,V1,L4CΒ,M,C2
V1,L4CM,V1,L6A,S,C1
V1,L4CM,V1,L6M,S,C1
V1,L4CM,V1,L6B,S,C1
V1,L4CΒ,V1,L3B,M,C1
V1,L4CΒ,V1,L4A,M,C1
V1,L4CΒ,V1,L4CΑ,M,C1
V1,L4CΒ,V1,L4CM,M,C1
V1,L4CΒ,V1,L4CΒ,D,C1
V1,L4CΒ,V1,L6A,M,C1
V1,L4CΒ,V1,L6M,S,C1
V1,L4CΒ,V1,L6B,S,C1
V1,L5,V1,L2-3A,M,C7
V1,L5,V1,L4B,M,C7
V1,L5A,V1,L1,M,C1
V1,L5A,V1,L2-3A,M,C1
V1,L5A,V1,L3B,M,C1
V1,L5A,V1,L4A,M,C1
V1,L5A,V1,L4B,S,C1
V1,L5A,V1,L4CΑ,M,C1
V1,L5A,V1,L4CM,S,C1
V1,L5A,V1,L4CΒ,M,C1
V1,L5A,V1,L5A,D,C1
V1,L5A,V1,L5B,M,C1
V1,L5A,V1,L6A,M,C1
V1,L5A,V1,L6M,M,C1
V1,L5A,V1,L6B,M,C1
V1,L5B,V1,L2-3A,M,C5-C2
V1,L5B,V1,L3B,M,C5-C2
V1,L5B,V1,L4A,S,C5-C2
V1,L5B,V1,L4B,S,C5
V1,L5B,V1,L5A,M,C5-C2
V1,L5B,V1,L5B,D,C5-C2
V1,L5B,V1,L6A,M,C5-C2
V1,L5B,V1,L6M,S,C5-C2
V1,L5B,V1,L6B,S,C5-C2
V1,L6,V1,L2-3A,S,C7
V1,L6,V1,L4B,M,C7
V1,L6A,V1,L3B,S,C2
V1,L6A,V1,L4A,M,C2
V1,L6A,V1,L4CΑ,M,C2
V1,L6A,V1,L4CM,M,C2
V1,L6A,V1,L4CΒ,M,C2
V1,L6A,V1,L5A,M,C2
V1,L6A,V1,L5B,M,C2
V1,L6A,V1,L6A,D,C2
V1,L6A,V1,L6M,M,C2
V1,L6A,V1,L6B,M,C2
V1,L6M,V1,L3B,S,C2
V1,L6M,V1,L4A,M,C2
V1,L6M,V1,L4CΑ,M,C2
V1,L6M,V1,L4CM,M,C2
V1,L6M,V1,L4CΒ,M,C2
V1,L6M,V1,L5A,M,C2
V1,L6M,V1,L5B,M,C2
V1,L6M,V1,L6A,M,C2
V1,L6M,V1,L6M,D,C2
V1,L6M,V1,L6B,M,C2
V1,L6B,V1,L3B,S,C2
V1,L6B,V1,L4A,M,C2
V1,L6B,V1,L4CΑ,M,C2
V1,L6B,V1,L4CM,M,C2
V1,L6B,V1,L4CΒ,M,C2
V1,L6B,V1,L5A,M,C2
V1,L6B,V1,L5B,M,C2
V1,L6B,V1,L6A,M,C2
V1,L6B,V1,L6M,M,C2
V1,L6B,V1,L6B,M,C2
V2,L1,V2,L4,M,C7
V2,L1,V2,L5,M,C7
V2,L2,V2,L2,M,C6
V2,L2,V2,L3,M,C6
V2,L2,V2,L4,M,C7-C8
V2,L2,V2,L5,M,C6-C8
V2,L2,V2,L5A,M,C6
V2,L3,V2,L2,M,C6
V2,L3,V2,L4,M,C7
V2,L3,V2,L5,M,C7
V2,L3A,V2,L2,M,C6
V2,L3A,V2,L3A,M,C6
V2,L3A,V2,L3B,M,C6
V2,L3A,V2,L4,M,C8
V2,L3A,V2,L5,M,C8
V2,L3B,V2,L2,M,C6
V2,L3B,V2,L3A,M,C6-C8
V2,L3B,V2,L3B,M,C6-C8
V2,L3B,V2,L4,M,C6-C8
V2,L3B,V2,L5,M,C6
V2,L4,V2,L3B,M,C6
V2,L4,V2,L4,M,C6-C7
V2,L4,V2,L5,M,C7
V2,L4,V2,L5A,M,C6
V2,L5,V2,L4,M,C7
V2,L5,V2,L5,M,C7
V2,L5A,V2,L4,M,C6
V2,L5A,V2,L5A,M,C6
V2,L5A,V2,L5B,M,C6
V2,L6,V2,L4,M,C7
V2,L6,V2,L5,M,C7
V2,L6,V2,L6,M,C6
